Rating,Content,Date
5,It just works!,2017-08-14
4,"В целом удобноное приложение...из минусов хотят слишком большой доступ к персональным данным в телефоне,приходится пользоваться в ограниченном режиме",2017-08-14
5,Отлично все,2017-08-14
5,Стал зависать на 1% работы антивируса. Дальше никуда. Ранее больше года пользовался нормально.,2017-08-14
5,"Очень удобно, работает быстро.",2017-08-14
5,Всё удобно норм 👍👍👍,2017-08-14
5,Очень удобное приложение.,2017-08-14
5,Все устраивает,2017-08-14
5,"У меня работает все четко. В отличии от банкоматов, которые вечно зависают и тупят",2017-08-14
5,Очень все хорошо👍,2017-08-14
5,Все ок!,2017-08-14
5,"Все нормально, кроме того что уведомление нельзя удалять!!!!!!!!",2017-08-14
2,"Не стартует без доступа к gps, sms, звонкам и адресной книге. Филиал фсб одним словом",2017-08-14
5,"Очень удобно, работает замечательно, подвисаний нет.",2017-08-14
5,Очень удобно,2017-08-14
5,Очень удобная штука,2017-08-14
5,Отличное приложение,2017-08-14
5,Удобно практично,2017-08-14
5,"Очень удобное приложение, для оплаты платежей и переводов",2017-08-14
5,Удобно и быстро,2017-08-14
5,"Очень удобное приложение, вот можно было бы транспортные карты пополнять через приложение, так вообще замечательно было бы.",2017-08-14
5,"Жаль, что история ВСЕХ движений под семью замками",2017-08-14
5,Хорошее приложение,2017-08-14
5,Удобно и без лишних хлопот,2017-08-14
5,Полезное,2017-08-14
3,При заходе дважды требует пароль.и на оплате электроэнергии виснет намертво на первом листе списка и висит загрузка вечно (,2017-08-14
5,"Всё хорошо запустились, Спасибо вам большое.",2017-08-14
5,Если бы ещё сбербанк так же отлично работал в живую!.. ),2017-08-14
5,"Очень удобно, спасибо.",2017-08-14
5,Платежи работают как швейцарские часы!,2017-08-14
5,Супер,2017-08-14
5,"Быстро,комфортно",2017-08-14
5,Очень удобно,2017-08-14
1,Не работает поиск по наименованию служб,2017-08-14
5,Молодцы,2017-08-14
5,Круто,2017-08-14
5,Хорошечно!,2017-08-14
5,"Пользуюсь не долго, но на первый взгляд все удобно и не вызывает нареканий.",2017-08-14
5,Мне удобно.,2017-08-14
5,"Хорошее приложение,пользуюсь больше двух лет,нареканий нет",2017-08-14
5,Все хорошо и мило,2017-08-14
5,"Отличное приложение,работает на ура!,очень удобно .",2017-08-14
5,Очень удобно,2017-08-14
4,"Последнее обновление не устанавливается, после удаления программы и попытки повторной установки идет скачивание затем установка и.т.д. без конца телефон ASUS Z00D - исправте пожалуйста... до этого успешное использование на этом устройстве долгое время",2017-08-14
5,Норм,2017-08-14
2,Не приходит смс не магу зайти,2017-08-14
5,СУПЕР!!!,2017-08-14
5,Всё просто и понятно,2017-08-14
5,Очень удобное приложение,2017-08-14
5,Меня все устраивает,2017-08-14
4,Иногда приложение не открывает шаблон.,2017-08-14
5,Очень удобно),2017-08-14
5,Приложение супер,2017-08-14
5,Отлично.Спасибо.,2017-08-14
5,Буэ,2017-08-14
5,"Довольно быстро, хорошо и не надо никуда ходить.",2017-08-14
5,"Регулярно приходится два раза вводить пароль, чтобы войти в приложение",2017-08-14
5,Очень удобное и практичное приложение. Всем советую,2017-08-14
5,Удобно,2017-08-14
2,"Раньше могла через приложение переводить деньги с карты на карту и закидывать деньги на мобильный телефон любых операторов, а сейчас этого в приложении сбербанка нету.",2017-08-14
4,Долго загружается,2017-08-14
5,Очень удобно спасибо вам,2017-08-14
5,"Очень удобное приложение, помогает экономить время.",2017-08-14
5,Удобное приложение,2017-08-14
5,"Очень удобно, спасибо Сбербанк.",2017-08-14
5,Спосиба,2017-08-14
5,Очень приятно работает,2017-08-14
5,Хорошее приложение,2017-08-14
5,Все клёво,2017-08-14
5,"УВ. Сбербанк. Устройство meizu mx5 со сканером отпечатков. Могу ли я настроить данное приложение на работу с ним, а не вводить пароль? Знаю что на Андроиде такое возможно",2017-08-14
1,Лагает,2017-08-14
5,Спасибо,2017-08-14
5,Иногда бывают проблемы с входом в прогу... В целом довольна,2017-08-14
5,Все ок,2017-08-14
1,"Как же в него войти, если не приходит смс с кодом подтверждения?",2017-08-14
3,При рабочем интернете приложение никак не может соединиться с сервером. Исправьте,2017-08-14
5,"Самое лучшее приложение, по сравнению с аналогичным.",2017-08-14
4,"Хорошее приложение. Подвисает, но очень редко.",2017-08-14
5,Все супер,2017-08-14
5,Спасибо сбербанка. маладец ребята. Благодарю вас за то что есть сбербанк и его придложения.,2017-08-14
4,Просто и удобно,2017-08-14
5,"Очень удобно,легко и сердито.",2017-08-14
5,Все нравится.,2017-08-14
4,"В целом доволен, несмотря на иногда возникающие сбои связи с сервером",2017-08-14
5,Очень удобное приложение,2017-08-14
5,Хорошее приложения рекаминдую!!!,2017-08-14
5,Супер!!!!!,2017-08-14
4,"Удобное приложение, но есть глюки сильные. Иной раз не с первого раза получается зайти.",2017-08-14
1,Все меньше возможности для оплаты иных ресурсов поэтому одна звезда и еще свои мутные услуги навязывают,2017-08-14
5,Всё гуд !,2017-08-14
5,Ок,2017-08-14
5,Работает нормально,2017-08-14
5,Я довольна.,2017-08-14
5,Отлично,2017-08-14
5,Все круто,2017-08-14
5,Всё отлично,2017-08-14
5,Неплохое приложение только бы загрузку побыстрей,2017-08-14
5,Пока что все отлично работает,2017-08-14
5,Быстро удобно,2017-08-14
5,Отличное приложение,2017-08-14
5,Удобно пользоваться и контролировать свои расходы,2017-08-14
5,"Шикарное приложение, никаких лагов",2017-08-14
